Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydro,Other,Solar,Wind
Haiti,HTI,2019,0,0,0.863,0,0.089,0,0,0
Honduras,HND,2019,0,0.155,3.11,0,3.374,1.018,1.093,0.549
Hong Kong,HKG,2019,22.542,11.271,0,0,0,0.109,0.001,0.002
Hungary,HUN,2019,4.562,8.507,0,16.289,0.22,2.146,1.384,0.726
Iceland,ISL,2019,0,0,0,0,13.458,6.019,0,0.007
India,IND,2019,1137.368,71.021,8.185,45.163,161.847,25.351,46.268,63.314
Indonesia,IDN,2019,176.98,51.593,17.311,0,16.993,15.702,0.064,0.188
Iran,IRN,2019,0.626,199.548,82.595,6.411,28.963,0.024,0.171,0.357
Iraq,IRQ,2019,0,54.534,32.413,0,2.478,0,0.057,0
Ireland,IRL,2019,2.08,15.683,0,0,0.887,0.893,0.025,9.691
Israel,ISR,2019,21.154,42.84,0,0,0.023,0.101,2.719,0.064
Italy,ITA,2019,29.674,126.46,10.245,0,45.14,23.233,24.326,20.063
Jamaica,JAM,2019,0,0.566,2.826,0,0.16,0.292,0.059,0.344
Japan,JPN,2019,326.161,362.371,44.73,65.636,73.927,37.267,75.274,8.62
Jordan,JOR,2019,0,16.685,1.698,0,0.033,0.003,1.193,0.559
Kazakhstan,KAZ,2019,78.056,20.784,0.828,0,9.987,0.005,0.291,0.496
Kenya,KEN,2019,0,0,2.246,0,2.982,5.458,0.26,0.72
Kiribati,KIR,2019,0,0,0.025,0,0,0,0.005,0
Kuwait,KWT,2019,0,71.51,0,0,0,0,0.142,0.018
Kyrgyzstan,KGZ,2019,0.966,0,0.072,0,15.184,0,0,0
Laos,LAO,2019,11.826,0,0,0,19.989,0.005,0.011,0
Latvia,LVA,2019,0,3.375,0,0,2.108,0.977,0,0.155
Lebanon,LBN,2019,0,8.664,10.419,0,0.305,0,0,0.006
Lesotho,LSO,2019,0,0,0,0,0.49,0,0,0
Liberia,LBR,2019,0,0,0.437,0,0,0,0,0
Libya,LBY,2019,0,32.657,1.702,0,0,0,0.008,0
Lithuania,LTU,2019,0,0.521,0.183,0,0.346,0.544,0.09,1.459
Luxembourg,LUX,2019,0,0.221,0,0,0.106,0.281,0.121,0.267
Madagascar,MDG,2019,0.444,0.11,0.269,0,0.917,0.001,0,0.001
Malawi,MWI,2019,0,0.172,0,0,1.783,0.054,0,0
Malaysia,MYS,2019,71.133,68.568,2.588,0,27.045,0.89,0.794,0
Maldives,MDV,2019,0,0,0.442,0,0,0,0,0.002
Mali,MLI,2019,0,0,1.465,0,1.158,0.052,0.004,0
